Dictionary index,Session and Scene,Sign gloss labels from the Gallaudet Dictionary,Start frame,End frame
30,scene5-camera1,abandon,182,208
31,,abortion,450,482
32,,about1,724,781
33,,above1,1000,1033
34,,above2,1299,1327
35,,accept-fr,1565,1606
36,,accident1,1796,1845
37,,accident2,2018,2043
38,,accompany-fr,2242,2282
39,scene6-camera1,accounting-fr,728,768
40,,accuse-fr,1007,1042
41,,across,1322,1360
42,,act1,1607,1670
43,,action,1858,1915
44,,actor_actress,2199,2258
45,,add,2518,2560
46,,add_up,2821,2860
47,,address,3079,3121
48,,admission-fr,3355,3390
49,scene7-camera1,admit,540,576
50,,adopt,788,826
51,,advertisement-fr,1509,1571
53,,advice,1807,1831
54,,advise,2110,2146
56,scene8-camera1,afraid,805,847
57,,africa1,1156,1236
58,,africa2,1773,1816
59,,african_american1-fr,2151,2270
60,,african_american2-fr,2902,2995
61,scene9-camera1,after,549,580
62,,afternoon,767,790
63,,again,931,966
64,,again_again,1193,1260
65,,age,1469,1506
67,scene10-camera1,aggravated,382,425
68,,agree_correspond,660,705
69,,ahead2,897,937
70,,air2,1147,1212
71,,airplane-side,1575,1605
72,,alarm,1777,1807
73,scene11-camera1,alcoholic_drink,235,285
74,,all,473,521
75,,all_day,709,766
76,,all_gone2-fr,953,981
77,,all_night,1207,1261
78,,all_right,1442,1476
79,scene12-camera1,all2,275,300
80,,alligator,479,517
81,,allow-fr,667,687
82,,almost,848,880
83,,alot,1060,1093
84,,altogether,1513,1556
85,scene13-camera1,always,316,370
86,,ambition,521,576
87,,america,773,830
88,,american_sign_language,1049,1125
89,,among,1398,1461
90,,amount,1684,1725
91,scene14-camera1,amsterdam,326,373
92,,analyze,560,597
93,,ancestors,767,827
94,,and,973,1005
95,,angel,1195,1237
96,,animal,1467,1510
97,scene15-camera1,announce,323,352
98,,another,642,668
99,,answer-fr,856,890
100,,any,1086,1108
101,,anyone,1310,1348
102,,anything,1493,1533
103,scene16-camera1,anywhere,461,507
104,,appear,638,665
105,,applaud_deaf_way,821,853
106,scene18-camera1,apple,829,867
107,,apply-fr,1225,1257
108,,apply-fr1,1426,1465
109,,apply-fr2,1868,1907
110,scene19-camera1,appoint2,628,667
111,,appoint3,863,892
112,,appointment1,1090,1133
113,,appointment2,1309,1346
114,,apprehensive,1544,1590
115,,approach,1848,1890
116,scene20-camera1,appropriate,369,405
117,,approve3,598,638
118,,approximately,803,856
119,,april_fools_day,1070,1121
120,,archery,1591,1635
121,,area1,1916,1972
128,scene22-camera1,art,358,402
129,,article,587,621
130,,artist,840,900
131,,as,1104,1123
132,,ashamed2,1348,1382
133,,asia1,1591,1652
134,scene23-camera1,asia2,226,297
135,,ask_request-fr,483,520
136,,asl,683,705
137,,assistant-fr,867,907
138,,associate,1076,1125
139,,association,1308,1351
140,scene24-camera1,athens-fr,337,371
141,,atlanta,558,597
142,,attempt-fr,780,807
143,,attend,991,1022
144,,attendance,1197,1223
145,,attention2,1454,1483
146,scene25-camera1,attitude,470,516
147,,audience,719,796
148,,audiologist,975,1040
149,,audiology,1233,1285
150,,aunt-fr,1484,1533
151,,australia1,1810,1835
152,scene26-camera1,australia2-fr,614,647
153,,austria1,919,955
